fid,DN,area
1,"2",5003.224
2,"2",54410.040
3,"1",6879.445
4,"3",1876.194
5,"3",8130.225
6,"3",65666.882
7,"1",91308.891
8,"6",1250.805
9,"5",30019.297
10,"6",2501.609
11,"1",625.397
12,"1",2501.589
13,"6",1250.804
14,"5",81301.839
15,"3",68793.749
16,"2",625.406
17,"1",121954.053
18,"3",105066.828
19,"1",150096.781
20,"3",2501.626
21,"3",24390.782
22,"5",39400.589
23,"3",36898.731
24,"3",20012.703
25,"5",625.396
26,"1",7504.865
27,"3",3752.441
28,"1",48781.456
29,"3",70044.496
30,"1",6879.465
31,"1",7504.875
32,"3",107568.085
33,"3",18762.223
34,"1",19387.505
35,"0",1375667.985
36,"3",67543.888
37,"1",17511.076
38,"1",19387.712
39,"0",1379416.953
40,"5",15009.587
41,"1",16260.550
42,"1",47530.627
43,"1",20013.000
44,"3",2209543.834
45,"1",625.406
46,"5",28768.580
47,"3",16260.463
48,"3",16260.379
49,"3",124453.718
50,"3",17511.309
51,"5",5628.661
52,"1",4373413.689
53,"1",5628.630
54,"3",1876.186
55,"2",262670.721
56,"2",2383418.115
57,"5",8755.525
58,"1",6879.420
59,"2",1250.804
60,"1",6879.343
61,"1",8130.136
62,"2",15634.943
63,"1",85680.297
64,"1",76924.952
65,"1",8755.666
66,"2",833036.270
67,"5",5003.182
68,"4",14384.206
69,"2",93809.783
70,"5",7504.839
71,"2",53784.589
72,"2",25015.839
73,"5",1250.795
74,"3",4377.847
75,"2",126331.837
76,"2",75674.171
77,"1",6879.442
78,"5",8755.612
79,"2",115074.157
80,"5",23765.217
81,"2",625.406
82,"1",6879.339
83,"3",625.397
84,"1",625.399
85,"3",625.397
86,"3",3752.380
87,"2",610391.151
88,"1",625.397
89,"1",7504.812
90,"2",128207.941
91,"5",26892.170
92,"1",9380.997
93,"1",13758.773
94,"3",3752.378
95,"6",8755.655
96,"1",207631.260
97,"5",143217.368
98,"3",140715.513
99,"1",83178.120
100,"1",270173.673
101,"3",50657.692
102,"0",1331046.290
103,"1",45029.080
104,"2",19387.460
105,"3",5072627.703
106,"0",1349172.419
